id,name,birth_date,url_photos,country_id,,,,,,,,,,,
1,Aaron Ashmore,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,10,,,,,,,,,,,
2,Aaron Aziz,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,9,,,,,,,,,,,
3,Abby Ryder Fortson,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,9,,,,,,,,,,,
4,Adria Arjona,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,2,,,,,,,,,,,
5,Aghniny Haque,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,2,,,,,,,,,,,
6,Agla Artalidia,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,6,,,,,,,,,,,
7,Ahn Bo-hyun,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,10,,,,,,,,,,,
8,Ahn Jae-wook,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,10,,,,,,,,,,,
9,Aidan Gillen,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,2,,,,,,,,,,,
10,Aileen Wu,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,8,,,,,,,,,,,
11,Aishwarya Rai Bachchan,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,7,,,,,,,,,,,
12,Akira Kamiya,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,7,,,,,,,,,,,
13,Alan Cumming,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,6,,,,,,,,,,,
14,Alan Tudyk,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,1,,,,,,,,,,,
15,Albert Brooks,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,1,,,,,,,,,,,
16,Alex D. Linz,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,8,,,,,,,,,,,
17,Alexa Davalos,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,8,,,,,,,,,,,
18,Alexa PenaVega,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,7,,,,,,,,,,,
